Equipo,Partidos_Jugados,Goles_Marcados_AVG,Goles_Encajados_AVG,Tiros_Totales_AVG,Tiros_Contra_AVG,Tiros_Puerta_AVG,Muro_Defensivo_AVG,Corners_Provocados_AVG,Corners_Concedidos_AVG,Faltas_Cometidas_AVG,Faltas_Recibidas_AVG,Amarillas_Propias_AVG,Amarillas_Rivales_AVG,Rojas_Propias_AVG,Porteria_a_Cero_%,Partidos_Anotando_%,Over_2.5_Goles_%,Letalidad_Real_%,Punteria_Ofensiva_%,Conversion_Contra_Suerte_%,Resistencia_Arbitral_Ratio,Dureza_del_Rival_Ratio,Dominio_Neto_Tiros,Dominio_Neto_Corners
Barcelona,30,2.67,0.97,19.73,9.17,7.2,3.7,7.27,4.2,9.27,12.0,1.5,2.47,0.07,40.0,100.0,80.0,37.04,36.49,26.13,6.18,4.86,10.57,3.07
Real Madrid,30,2.13,0.93,17.97,10.1,6.87,3.07,6.37,3.53,9.97,14.1,1.8,2.67,0.23,36.67,90.0,63.33,31.07,38.22,30.43,5.54,5.29,7.87,2.83
Villarreal,29,1.86,1.17,12.28,12.62,4.66,3.62,3.93,4.48,12.48,12.28,2.17,2.1,0.1,27.59,86.21,58.62,40.0,37.92,32.38,5.75,5.84,-0.34,-0.55
Ath Madrid,30,1.67,1.0,13.4,10.93,5.43,3.5,6.5,3.93,11.3,9.67,2.03,1.97,0.1,40.0,86.67,46.67,30.67,40.55,28.57,5.56,4.92,2.47,2.57
Betis,30,1.47,1.23,14.7,12.23,4.83,4.27,4.53,5.23,10.37,13.97,1.93,2.53,0.03,30.0,86.67,46.67,30.34,32.88,28.91,5.36,5.51,2.47,-0.7
Celta,29,1.41,1.21,10.86,12.03,4.14,4.1,4.14,4.55,11.45,12.03,1.9,2.48,0.03,27.59,86.21,41.38,34.17,38.1,29.41,6.04,4.85,-1.17,-0.41
Sociedad,30,1.53,1.5,13.0,13.2,4.8,4.3,5.8,4.67,14.43,11.7,2.03,2.23,0.1,10.0,90.0,60.0,31.94,36.92,34.88,7.1,5.24,-0.2,1.13
Osasuna,29,1.17,1.21,11.59,12.62,3.72,4.55,3.55,4.62,13.52,11.55,2.34,2.38,0.17,24.14,65.52,44.83,31.48,32.14,26.52,5.76,4.86,-1.03,-1.07
Vallecano,30,0.97,1.17,13.6,12.03,4.57,3.97,6.0,5.03,13.23,11.03,2.6,2.2,0.27,30.0,63.33,36.67,21.17,33.58,29.41,5.09,5.02,1.57,0.97
Getafe,29,0.86,1.07,9.52,11.0,2.9,4.21,4.48,4.93,15.0,14.62,2.86,2.17,0.21,27.59,58.62,31.03,29.76,30.43,25.41,5.24,6.73,-1.48,-0.45
Espanol,30,1.2,1.47,12.8,13.17,4.17,4.93,4.67,4.47,13.67,12.7,2.23,2.5,0.13,26.67,80.0,53.33,28.8,32.55,29.73,6.12,5.08,-0.37,0.2
Elche,30,1.27,1.57,11.07,14.6,3.93,4.9,3.67,4.53,12.87,14.77,2.07,2.13,0.1,20.0,83.33,60.0,32.2,35.54,31.97,6.23,6.92,-3.53,-0.87
Ath Bilbao,29,1.1,1.41,14.17,9.76,4.69,4.14,5.41,3.9,13.79,11.41,2.31,1.97,0.17,17.24,65.52,48.28,23.53,33.09,34.17,5.97,5.81,4.41,1.52
Valencia,29,1.1,1.45,11.34,11.9,3.0,4.17,5.17,4.62,11.93,11.86,2.0,2.45,0.07,27.59,75.86,41.38,36.78,26.44,34.71,5.97,4.85,-0.55,0.55
Alaves,29,1.03,1.41,11.86,12.76,3.9,4.1,4.83,4.79,15.48,13.62,2.45,2.0,0.17,10.34,65.52,44.83,26.55,32.85,34.45,6.32,6.81,-0.9,0.03
Mallorca,30,1.2,1.6,10.4,15.0,4.0,4.9,3.4,6.63,11.53,12.47,2.33,1.97,0.13,10.0,73.33,66.67,30.0,38.46,32.65,4.94,6.34,-4.6,-3.23
Sevilla,29,1.28,1.69,11.24,10.83,3.76,4.52,4.79,4.55,14.93,12.97,2.83,2.03,0.14,17.24,79.31,58.62,33.94,33.44,37.4,5.28,6.37,0.41,0.24
Girona,29,1.07,1.52,10.41,15.55,4.0,5.14,4.07,5.31,10.66,13.86,2.14,1.83,0.24,17.24,72.41,51.72,26.72,38.41,29.53,4.98,7.58,-5.14,-1.24
Levante,30,1.13,1.67,11.6,16.67,3.53,5.47,3.77,6.37,12.53,12.8,2.23,2.37,0.13,16.67,63.33,43.33,32.08,30.46,30.49,5.61,5.41,-5.07,-2.6
Oviedo,29,0.69,1.66,9.93,15.69,3.21,5.97,3.83,5.93,12.83,11.62,2.24,1.48,0.28,24.14,44.83,37.93,21.51,32.29,27.75,5.72,7.84,-5.76,-2.1
